1009,International Business Machines Corp.
1021,1 River Road
1025,1701 E Mossy Oaks Rd Spring
1028,2300 Oracle Way
1033,Grand Canal Harbour
1038,Worldwide
1043,Werner-von-Siemens-Straße 1
1044,1 Embankment Place
1052,208 S. Akard Street
1060,Torshamnsgatan 21
1063,Tasman Way
1068,270 Park Avenue
1090,Amstelplein 2
1103,One Verizon Way
1115,Dietmar-Hopp-Allee 16
1116,2 P&G Plaza
1123,100 North Tryon Street
1185,New York
1201,14201 Northwest 60th Avenue
1230,4710 Knox Street
1235,420 Montgomery St
1241,8 Canada Square
1248,100 Victoria Embankment
1252,"1-7-1 Konan,"
1254,2207 Bridgepointe Parkway
1259,80 Quai Voltaire
1262,Taunusanlage 12
1264,Mainzer Landstrasse 11-17
1281,801 Lakeview Drive
1283,Infosys Limited
1288,Sunnyvale
1307,245 Summer St
1318,Doddakannelli
1337,1000 W Maude
1339,1864 4th Street
1344,Honeywell International Inc.
1353,Tata Consultancy Services
1373,201 Merritt 7
1384,929 Long Bridge Drive
1389,1 St James Square
1392,12920 SE 38th St
1393,Av. Nestlé 55
1396,1 Checkerboard Sq
1399,980 Great West Road
1400,19 Duncan Street 
1403,8283 Greensboro Drive
1406,Novartis Campus
1412,2980 Fairview Park Dr
1415,Boulevard West
1419,1680 Capital One Drive
1431,700 Anderson Hill Road
1441,1600 Amphitheatre Parkway
1449,209 Redwood Shores Pkwy
1463,1 ADP Blvd
1464,8601 Ranch Road 2222
1468,5599 San Felipe St
1472,100 Renaissance Center
1474,500 Woodward Ave
1480,345 Park Avenue
1481,2025 Hamilton Avenue
1482,2211 North First Street
1486,126 E Lincoln Ave
1491,100 SAS Campus Drive
1494,350 Mount Kemble Ave
1497,2485 Augustine Drive
1504,244 Wood Street
1508,16 boulevard des Italiens
1511,Mondelēz International
1512,1000 Nicollet Mall
1523,"55 Glenlake Parkway, NE"
1526,5301 Stevens Creek Boulevard
1534,2455 Paces Ferry Road
1539,1390 Timberlake Manor Parkway
1551,"1800 Harrison Street, 7th Floor"
1586,2127 7th Ave.
1603,1 Francis Crick Avenue
1612,100 Abbott Park Road
1614,12010 Sunset Hills Road
1627,185 Berry St
1630,500 Pasteur Dr
1637,100 Boston Scientific Way
1642,46 Avenue de la Grande-Armée
1645,25 Shattuck Street
1646,30 Dunster St
1658,300 Longwood Ave
1662,"41, Rue Martre"
1663,Lilly Corporate Center
1668,1000 Fedex Dr.
1670,Memphis
1673,Ogilvy HQ
1677,2 Folsom
1680,300 Frank W Burr Blvd
1681,2884 Sand Hill Road Suite 200
1714,675 6th Ave
1767,One Lincoln St
1773,3401 Princeton Pike
1784,200 Pier Four Boulevard
1792,450 Jane Stanford Way
1799,100 Manpower Place
1808,200 Bay Street
1828,30 Rockefeller Plaza
1833,1 CNBC Plaza
1841,710 Medtronic Parkway
1852,Broad St
1869,1221 Lamar Street
1874,1166 Avenue of the Americas
1879,Market St
1881,2941 Fairview Park Dr
1900,6555 State Highway 161
1908,12450 Fair Lakes Circle
1929,Bellerivestrasse 30
1951,Tour Carpe Diem
1970,Croeselaan 18
1974,510 West Georgia St.
2017,Qualcomm
2018,3050 Bowers Avenue
2019,7001 E Belleview
2029,One Bowerman Drive
2032,400 Washington Blvd.
2041,122 Leadenhall Street
2059,Rheinstrasse 20
