10504,"Armonk, New York"
12345,Schenectady
77389,Houston
78741,Austin
80333,Munich
95501,EUREKA
75202,Dallas
95134,San Jose
10017-2014,New York
1096 BC,Amsterdam
07920-1097,Basking Ridge
69190,Walldorf
NW1 3BF,London
45202,Cincinnati
28202,Charlotte
10017,New York
33014,Miami Lakes
28310-5010,Fort Liberty
94103,San Francisco
E14 5HQ,London
EC4Y 0DY,Blackfriars
108-0075,Tokyo
94404,San Mateo
60325,Frankfurt am Main
10577,Purchase
46628,South Bend
60329,Frankfurt am Main
19422,Blue Bell
560100,Bangalore
94089,Sunnyvale
02210,Boston
560035,Bangalore
94085,Sunnyvale
45433-7132,Wright-Patterson AFB
07950,Charlotte
400001,Mumbai
22202,Arlington
SW1Y 4PD,London
98006,Bellevue
1800,Vevey
98109,Seattle
63164-0001,St. Louis
TW8 9GS,Brentford
M5H 3G6,Toronto
22102,McLean
4002,Basel
22042,Falls Church
H3G 1T4,Montreal
CB2 0AA,Cambridge
94043,Mountain View
94065,Redwood City
07068,Roseland
78730,Austin
77056,Houston
48243,Detroit
48226,Detroit
95110-2704,San Jose
95125,San Jose
95131,San Jose
07065,Rahway
27513,Cary
07960,Morristown
95054,Santa Clara
02420,Lexington
75009,Paris
60064-3500,Abbott Park
60607,Greater Chicago Area
55403,Minneapolis
30328,Atlanta
95051,Santa Clara
30339,Atlanta
63017,Chesterfield
94612,Oakland
20190,Reston
94158,San Francisco
94304,Palo Alto
01752,Marlborough
75017,Paris
02115,Boston
02138,Cambridge
02215,Boston
92110,Paris
46285,Indianapolis
15108,Coraopolis
10036,New York
94105,San Francisco
07666,Teaneck
94025,Menlo Park
19103,Philadelphia
10011,New York
201301,Noida
02111,Boston
08648,Lawrence Township
94305,Stanford
53212,Milwaukee
M5J 2J5,Toronto
10112-0002,New York City
07632,Englewood Cliffs
55432-5604,Minneapolis
07102,Newark
77010,Houston
75039,Irving
22033,Fairfax
8008,Zurich
3521CB,Utrecht
V6B 0M3,Vancouver
92121,San Diego
80237,Denver
97005,Beaverton
06902,Stamford
EC3V 4AN,London
8200,Schaffhausen
06904,Stamford
90067,Los Angeles
417 15,Göteborg
95128,San Jose
75024,Plano
07054,Parsippany
WC2R 0RL,London
85579,"Neubiberg, München"
21076,Hanover
43017,Dublin
